diagnose;primaire symptomen (kenmerkend);secundaire symptomen (veel voorkomend);tertiaire symptomen (zeldzaam)
darmkanker;;"slijm/bloed bij de ontlasting; gewichtsverlies; veel alcoholgebruik;";
depressie;;"moe; verminderde eetlust; geen plezier; pieker; man vorig jaar overleden; gewichtsverlies";
hyperthyreoidie (te snel werkende schildklier);;"opwinden; warm; diarree; koorts; hartkloppingen; moe; gewichtsverlies";
diabetes mellitus type 2 (suikerziekte);;"gewichtsverlies; dorst; moe; plasdrang; urineweginfectie; kortademigheid";
Longkanker;;"hoesten; verminderde eetlust; gewichtsverlies; oud; roken; prikkelen; bloed ophoesten; heesheid; pijn op de borst; longontsteking";
Bovenste luchtweginfectie;;"hoesten; verkoudheid; benauwdheid; heesheid; koorts; keelpijn; niezen; pijn bij het slikken;";
Bijwerking medicatie (ACE-remmer lisinopril);;"prikkelen; hoesten; lisinopropil; hoodfpijn; diarree; braken; duizeligheid";
Gastro-oesofagale reflux;;"prikkelen; oprisping; maagzuur; hoesten; braken; buikpijn;";
Mevrouw de Jong moet ontslagen worden van alle rechtsvervolging, want er is sprake van noodweer en het vuurwapenbezit was nooit ontdekt als zij niet overvallen was.;;"bruut vastgegrepen; waarschuwingsschot; bedreigd; een mes";
Mevrouw de Jong moet alleen veroordeeld worden voor het bezitten van een illegaal vuurwapen, maar niet voor punt 1 of 2, want er is sprake van noodweer.;;"bruut vastgegrepen; waarschuwingsschot; bedreigd; een mes; noodweer";
Mevrouw de Jong moet alleen veroordeeld worden voor het bezitten van een illegaal vuurwapen, maar niet voor punt 1 of 2, want er is sprake van noodweerexces.;;"bruut vastgegrepen; waarschuwingsschot; bedreigd; een mes; noodweerexces; noodweer; hevige gemoedsbeweging ";
Mevrouw de Jong moet voor alle te laste gelegde daden veroordeeld worden. Het voorhanden hebben van een verboden vuurwapen maakt een beroep op noodweer(exces) onmogelijk.;;"ervaring; korte afstand; vitale plekken; nogmaals het vuur geopend; zware verwondingen; nogmaals geschoten; dodelijk; geladen pistool; illegaal";
De verdachten moeten allen de geeiste straf krijgen, met uitzondering van van G.: die krijgt 7 jaar cel. Dit vanwege de straf verminderende omstandigheid dat zijn zoontje voor aanzienlijke tijd zijn vader zal moeten missen.;;"vader; overlijden; medeplegen van moord; medeplegen van poging tot moord";
Jeroen van G. en Davy G. moeten veroordeeld worden voor de geeiste straf, Stephan en Frederik moeten worden vrijgesproken, nu zij de steen niet gegooid hebben en ook geen opzet hadden op het sterven van de vrouw.;;"gedistantieerd; overlijden";
De verdachten moeten allen de geeiste straf krijgen, want de verdachten hebben tezamen en in vereniging met elkaar opzettelijk en met voorbedachten rade de vrouw van het leven beroofd.;;"overlijden; medeplegen van moord; medeplegen van poging tot moord";
De verdachten moeten niet voor moord maar voor doodslag veroordeeld worden, nu zij niet van tevoren besloten hebben iemand van het leven beroven. Het gooien van de stoeptegel gebeurde in een opwelling. Dit heeft als gevolg dat alle de helft van hun geeiste straf krijgen.;;"niemand gewond geraakt; aan te geven";
