;Case;Answer Option;Analysis;m0a;m0a, m1, m2b;m0b;m1;m2;m3
0;1;a;total non-zero features;1,0;13,42;12,0;5,22;10,0;5,22
1;1;b;total non-zero features;1,0;13,02;12,0;5,1;10,0;5,1
2;1;c;total non-zero features;1,0;13,06;12,0;5,1;10,0;5,1
3;1;d;total non-zero features;1,0;11,0;12,0;0,0;10,0;0,0
4;2;a;total non-zero features;1,0;11,86;9,0;7,06;7,0;7,06
5;2;b;total non-zero features;1,0;8,0;9,0;0,0;7,0;0,0
6;2;c;total non-zero features;1,0;12,12;9,0;7,08;7,0;7,08
7;2;d;total non-zero features;1,0;11,96;9,0;7,1;7,0;7,1
8;3;a;total non-zero features;1,0;16,88;17,0;6,12;15,22;6,12
9;3;b;total non-zero features;1,0;16,8;17,0;6,18;15,16;6,18
10;3;c;total non-zero features;1,0;16,12;17,0;0,0;15,12;0,0
11;3;d;total non-zero features;1,0;16,0;17,0;6,16;15,0;6,16
12;4;a;total non-zero features;1,0;7,0;8,0;1,44;6,0;1,44
13;4;b;total non-zero features;1,0;7,0;8,0;1,44;6,0;1,44
14;4;c;total non-zero features;1,0;7,0;8,0;1,44;6,0;1,44
15;4;d;total non-zero features;1,0;7,0;8,0;0,0;6,0;0,0
16;1;a;% scores below 25;0,0;54,23080399999999;0,0;1,6;100,0;1,6
17;1;b;% scores below 25;0,0;53,703327999999985;0,0;1,9333339999999999;99,8;1,9333339999999999
18;1;c;% scores below 25;0,0;53,67035799999998;0,0;1,6;99,6;1,6
19;1;d;% scores below 25;0,0;90,90909999999994;0,0;0,0;100,0;0,0
20;2;a;% scores below 25;0,0;26,343804;0,0;2,571428;85,14286799999998;2,571428
21;2;b;% scores below 25;0,0;87,5;0,0;0,0;100,0;0,0
22;2;c;% scores below 25;0,0;34,890412;0,0;3,142858;100,0;3,142858
23;2;d;% scores below 25;0,0;33,58622;0,0;3,4285720000000004;98,57143;3,4285720000000004
24;3;a;% scores below 25;0,0;57,808804;0,0;0,0;100,0;0,0
25;3;b;% scores below 25;0,0;57,24998599999999;0,0;0,0;100,0;0,0
26;3;c;% scores below 25;0,0;93,79411199999998;0,0;0,0;100,0;0,0
27;3;d;% scores below 25;0,0;47,5;0,0;1,0;91,33333199999998;1,0
